,date,state,city,place_type,confirmed,deaths,order_for_place,is_last,estimated_population_2019,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
1245982,2020-12-20,RJ,,state,406820,24473,281,False,17264943.0,17366189.0,33.0,2342.59802,6.02
1245983,2020-12-19,RJ,,state,403660,24454,280,False,17264943.0,17366189.0,33.0,2324.40174,6.0600000000000005
1245984,2020-12-18,RJ,,state,402480,24351,279,False,17264943.0,17366189.0,33.0,2317.60693,6.05
1245985,2020-12-17,RJ,,state,398879,24204,278,False,17264943.0,17366189.0,33.0,2296.87124,6.069999999999999
1245986,2020-12-16,RJ,,state,395386,24109,277,False,17264943.0,17366189.0,33.0,2276.75744,6.1
1245987,2020-12-15,RJ,,state,391350,23887,276,False,17264943.0,17366189.0,33.0,2253.51688,6.1
1245988,2020-12-14,RJ,,state,389893,23740,275,False,17264943.0,17366189.0,33.0,2245.12701,6.09
1245989,2020-12-13,RJ,,state,389125,23722,274,False,17264943.0,17366189.0,33.0,2240.70462,6.1
1245990,2020-12-12,RJ,,state,388431,23718,273,False,17264943.0,17366189.0,33.0,2236.70835,6.11
1245991,2020-12-11,RJ,,state,384942,23630,272,False,17264943.0,17366189.0,33.0,2216.61759,6.140000000000001
1245992,2020-12-10,RJ,,state,381644,23546,271,False,17264943.0,17366189.0,33.0,2197.6266600000004,6.17
1245993,2020-12-09,RJ,,state,378084,23430,270,False,17264943.0,17366189.0,33.0,2177.1270600000003,6.2
1245994,2020-12-08,RJ,,state,374753,23270,269,False,17264943.0,17366189.0,33.0,2157.9461100000003,6.21
1245995,2020-12-07,RJ,,state,371376,23151,268,False,17264943.0,17366189.0,33.0,2138.50028,6.23
1245996,2020-12-06,RJ,,state,371075,23131,267,False,17264943.0,17366189.0,33.0,2136.76702,6.23
1245997,2020-12-05,RJ,,state,370267,23099,266,False,17264943.0,17366189.0,33.0,2132.11431,6.239999999999999
1245998,2020-12-04,RJ,,state,367641,23017,265,False,17264943.0,17366189.0,33.0,2116.99297,6.260000000000001
1245999,2020-12-03,RJ,,state,365185,22891,264,False,17264943.0,17366189.0,33.0,2102.85054,6.2700000000000005
1246000,2020-12-02,RJ,,state,361397,22764,263,False,17264943.0,17366189.0,33.0,2081.03804,6.3
1246001,2020-12-01,RJ,,state,357982,22683,262,False,17264943.0,17366189.0,33.0,2061.3734,6.34
1246002,2020-11-30,RJ,,state,354354,22590,261,False,17264943.0,17366189.0,33.0,2040.48223,6.370000000000001
1246003,2020-11-29,RJ,,state,353316,22561,260,False,17264943.0,17366189.0,33.0,2034.5050899999999,6.39
1246004,2020-11-28,RJ,,state,352760,22539,259,False,17264943.0,17366189.0,33.0,2031.3034699999998,6.39
1246005,2020-11-27,RJ,,state,347348,22448,258,False,17264943.0,17366189.0,33.0,2000.1394699999998,6.460000000000001
1246006,2020-11-26,RJ,,state,346024,22394,257,False,17264943.0,17366189.0,33.0,1992.51546,6.47
1246007,2020-11-25,RJ,,state,343995,22256,256,False,17264943.0,17366189.0,33.0,1980.83183,6.47
1246008,2020-11-24,RJ,,state,340833,22141,255,False,17264943.0,17366189.0,33.0,1962.62404,6.5
1246009,2020-11-23,RJ,,state,338688,22028,254,False,17264943.0,17366189.0,33.0,1950.27245,6.5
1246010,2020-11-22,RJ,,state,338203,21974,253,False,17264943.0,17366189.0,33.0,1947.47967,6.5
1246011,2020-11-21,RJ,,state,337277,21971,252,False,17264943.0,17366189.0,33.0,1942.1474699999999,6.510000000000001
1246012,2020-11-20,RJ,,state,336915,21938,251,False,17264943.0,17366189.0,33.0,1940.0629600000002,6.510000000000001
1246013,2020-11-19,RJ,,state,334514,21806,250,False,17264943.0,17366189.0,33.0,1926.23724,6.52
1246014,2020-11-18,RJ,,state,332396,21698,249,False,17264943.0,17366189.0,33.0,1914.04113,6.529999999999999
1246015,2020-11-17,RJ,,state,330009,21474,248,False,17264943.0,17366189.0,33.0,1900.29603,6.510000000000001
1246016,2020-11-16,RJ,,state,327455,21301,247,False,17264943.0,17366189.0,33.0,1885.58929,6.510000000000001
1246017,2020-11-15,RJ,,state,326956,21294,246,False,17264943.0,17366189.0,33.0,1882.71589,6.510000000000001
1246018,2020-11-14,RJ,,state,326645,21284,245,False,17264943.0,17366189.0,33.0,1880.9250600000003,6.52
1246019,2020-11-13,RJ,,state,323006,21162,244,False,17264943.0,17366189.0,33.0,1859.9705399999998,6.550000000000001
1246020,2020-11-12,RJ,,state,322383,21090,243,False,17264943.0,17366189.0,33.0,1856.3831100000002,6.54
1246021,2020-11-11,RJ,,state,320598,20970,242,False,17264943.0,17366189.0,33.0,1846.1045199999999,6.54
1246022,2020-11-10,RJ,,state,318953,20905,241,False,17264943.0,17366189.0,33.0,1836.6320899999998,6.550000000000001
1246023,2020-11-09,RJ,,state,316575,20905,240,False,17264943.0,17366189.0,33.0,1822.9388199999999,6.6000000000000005
