,date,state,city,place_type,confirmed,deaths,order_for_place,is_last,estimated_population_2019,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
189333,2021-06-18,ES,Sooretama,city,3098,51,423,True,30070.0,30680.0,3205010.0,10097.78357,1.6500000000000001
189756,2021-06-18,ES,São Domingos do Norte,city,1320,20,397,True,8638.0,8687.0,3204658.0,15195.11914,1.52
190153,2021-06-18,ES,São Gabriel da Palha,city,6474,78,415,True,37947.0,38522.0,3204708.0,16805.981,1.2
190568,2021-06-18,ES,São José do Calçado,city,943,58,414,True,10556.0,10546.0,3204807.0,8941.77887,6.15
190982,2021-06-18,ES,São Mateus,city,11872,248,427,True,130611.0,132642.0,3204906.0,8950.40786,2.09
191409,2021-06-18,ES,São Roque do Canaã,city,1685,19,429,True,12415.0,12510.0,3204955.0,13469.224619999999,1.13
191838,2021-06-18,ES,Vargem Alta,city,2370,44,397,True,21402.0,21591.0,3205036.0,10976.795890000001,1.8599999999999999
192235,2021-06-18,ES,Venda Nova do Imigrante,city,4367,49,417,True,25277.0,25745.0,3205069.0,16962.51699,1.1199999999999999
192652,2021-06-18,ES,Viana,city,8055,239,425,True,78239.0,79500.0,3205101.0,10132.07547,2.97
193077,2021-06-18,ES,Vila Pavão,city,1007,16,397,True,9208.0,9244.0,3205150.0,10893.55257,1.59
193474,2021-06-18,ES,Vila Valério,city,3010,32,410,True,14080.0,14073.0,3205176.0,21388.47438,1.06
193884,2021-06-18,ES,Vila Velha,city,62601,1543,437,True,493838.0,501325.0,3205200.0,12487.10916,2.46
194321,2021-06-18,ES,Vitória,city,54174,1191,437,True,362097.0,365855.0,3205309.0,14807.50571,2.1999999999999997
194758,2021-06-18,ES,Água Doce do Norte,city,813,37,397,True,11019.0,10909.0,3200169.0,7452.5621,4.55
195155,2021-06-18,ES,Águia Branca,city,1886,59,397,True,9642.0,9631.0,3200136.0,19582.597859999998,3.1300000000000003
