,DataAplicacao,ES,Acumulado_ES,estimated_population,Porcentagem da população
0,2021-01-17,28.0,28.0,4064052.0,0.0006889675624229218
1,2021-01-18,456.0,484.0,4064052.0,0.011909296436167647
2,2021-01-19,3303.0,3787.0,4064052.0,0.09318286281770016
3,2021-01-20,5712.0,9499.0,4064052.0,0.2337322455519762
4,2021-01-21,4962.0,14461.0,4064052.0,0.35582714000706683
5,2021-01-22,3160.0,17621.0,4064052.0,0.433582050623368
6,2021-01-23,1395.0,19016.0,4064052.0,0.46790739882265286
7,2021-01-24,2701.0,21717.0,4064052.0,0.5343681626120925
8,2021-01-25,5542.0,27259.0,4064052.0,0.6707345280030865
9,2021-01-26,7788.0,35047.0,4064052.0,0.8623659342941478
10,2021-01-27,8266.0,43313.0,4064052.0,1.0657590011151432
11,2021-01-28,6950.0,50263.0,4064052.0,1.2367705925022612
12,2021-01-29,4478.0,54741.0,4064052.0,1.3469561905211842
13,2021-01-30,6.0,54747.0,4064052.0,1.3471038264274178
14,2021-01-31,939.0,55686.0,4064052.0,1.370208845752958
15,2021-02-01,4361.0,60047.0,4064052.0,1.477515543600328
16,2021-02-02,4363.0,64410.0,4064052.0,1.5848714534164425
17,2021-02-03,3954.0,68364.0,4064052.0,1.682163515624308
18,2021-02-04,4272.0,72636.0,4064052.0,1.787280280862548
19,2021-02-05,5246.0,77882.0,4064052.0,1.9163632748793569
20,2021-02-06,882.0,78764.0,4064052.0,1.9380657530956789
21,2021-02-07,964.0,79728.0,4064052.0,1.9617859220305252
22,2021-02-08,3672.0,83400.0,4064052.0,2.052139096645417
23,2021-02-09,4399.0,87799.0,4064052.0,2.1603808218989324
24,2021-02-10,4678.0,92477.0,4064052.0,2.275487616792305
25,2021-02-11,3991.0,96468.0,4064052.0,2.3736901004219435
26,2021-02-12,3177.0,99645.0,4064052.0,2.4518633127725726
27,2021-02-13,958.0,100603.0,4064052.0,2.4754358458011856
28,2021-02-14,83.0,100686.0,4064052.0,2.477478142504082
29,2021-02-15,384.0,101070.0,4064052.0,2.486926840503025
30,2021-02-16,806.0,101876.0,4064052.0,2.5067592639070564
31,2021-02-17,1787.0,103663.0,4064052.0,2.550730157980262
32,2021-02-18,2544.0,106207.0,4064052.0,2.613327782223259
33,2021-02-19,2751.0,108958.0,4064052.0,2.681018845231311
34,2021-02-20,1315.0,110273.0,4064052.0,2.713375714680816
35,2021-02-21,804.0,111077.0,4064052.0,2.733158926116103
36,2021-02-22,2524.0,113601.0,4064052.0,2.7952644306716548
37,2021-02-23,4202.0,117803.0,4064052.0,2.8986587770038375
38,2021-02-24,4201.0,122004.0,4064052.0,3.002028517351648
39,2021-02-25,3570.0,125574.0,4064052.0,3.089871881560571
40,2021-02-26,4324.0,129898.0,4064052.0,3.1962681579861676
41,2021-02-27,2259.0,132157.0,4064052.0,3.2518530766830738
42,2021-02-28,664.0,132821.0,4064052.0,3.268191450306246
43,2021-03-01,4292.0,137113.0,4064052.0,3.3738003352319312
44,2021-03-02,6680.0,143793.0,4064052.0,3.538168310838542
45,2021-03-03,8499.0,152292.0,4064052.0,3.7472945720182715
46,2021-03-04,5695.0,157987.0,4064052.0,3.8874256530182194
47,2021-03-05,5251.0,163238.0,4064052.0,4.016631676956889
48,2021-03-06,2186.0,165424.0,4064052.0,4.070420358794622
49,2021-03-07,263.0,165687.0,4064052.0,4.076891732684523
50,2021-03-08,3431.0,169118.0,4064052.0,4.161314865065703
51,2021-03-09,2656.0,171774.0,4064052.0,4.226668359558391
52,2021-03-10,3254.0,175028.0,4064052.0,4.306736232705684
53,2021-03-11,3563.0,178591.0,4064052.0,4.394407355024001
54,2021-03-12,3947.0,182538.0,4064052.0,4.49152717534126
55,2021-03-13,6421.0,188959.0,4064052.0,4.6495222009954595
56,2021-03-14,324.0,189283.0,4064052.0,4.657494539932068
57,2021-03-15,4069.0,193352.0,4064052.0,4.7576162903427415
58,2021-03-16,5158.0,198510.0,4064052.0,4.884533957734793
59,2021-03-17,4520.0,203030.0,4064052.0,4.99575300709735
60,2021-03-18,4668.0,207698.0,4064052.0,5.110613742147
61,2021-03-19,9728.0,217426.0,4064052.0,5.349980758120221
62,2021-03-20,9781.0,227207.0,4064052.0,5.590651891265171
